Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
,Starrett 24 in. Vernier Caliper,50,58,8,5/7/21,16,,125,Shipping - 25,,,,,,,
,Assorted Micrometers,110,,52.5,,,,,,,,,,,,
,"Mitutoyo Micrometer 1-2""",,15,,,43,,30,,,,,,,,
,"Mitutoyo Micrometer 2-3""",,18.5,,7/19/22,44,Priority Small,50,,,,,,,,
,"Brown and Sharpe Micrometer 2-3""",,10,,5/18/21,45,,15,,,,,,,,
,"Mitutoyo Micrometer 3-4""",,50,,1/31/21,46,,55,,,,,,,,
,"NSK Micrometer 4-5""",,20,,2/26/21,47,,20,,,,,,,,
,"Mitutoyo Micrometer 5-6""",,,,,48,,60,,,,,,,,
,"Brown and Sharpe Micrometer 6-7""",,25,,2/11/21,49,,25,,,,,,,,
,"Starrett Micrometer 9-12""",,16,,,50,,25,,,,,,,,
,Davis Adjustable Micrometer,,8,,4/18/21,51,,30,,,,,,,,
,Lot: (2) IBM Correcting Selectric 3 Typewriters,30,,27,,,,,,,,,,,,
,IBM Selectric 3 A,,0,,5/26/21,65,,,,,,,,,,
,IBM Selectric 3 B,,57,,,66,,,,,,,,,,
,18% Buyer's Premium,108,,-108,,,,,,,,,,,,
,Kennedy Tool Chest,30,78,48,3/27/21,54,From Ron at a later estate sale,100,,,,,,,,
1/7/21,Miller CST 280,650,,,,,Bought from Mike in Joliet who works at Imperial Construction,,,,,,,,,
,Packing Materials,35,,,,,,,,,,,,,,
2/4/21,3 Indicators,80,,-47,,,,,,,,,,,,
,Hamilton .00005 Test Indicator,,,,,,,,,,,,,,,
,Starrett 643 Indicator,,33,,8/3/21,59,,,,,,,,,,
,Last Word 711-C,,,,,,,#REF!,,,,,,,,
,Endmill Lot,35,,,,,,,,,,,,,,
,Auction Buyer's Premium,20,,,,,,,,,,,,,,
2/6/21,"Mitutoyo Micrometer 0-1"" 103-135 ",24,,,,,"Bought to replace 0-1 Mit mic in 0-6"" set (This one is correct color)",,,,,,,,,
3/2/21,Adler Electric Typewriter,5,0,-5,,67,,,,,,,,,,
3/10/21,Lot 2 tools,40,,-38.75,,,"Contour Band Saw, from Kurt Plechaty",,,,,,,,,
,"24"" Scherr Tumico Vernier Calipers",,1.25,,5/26/21,68,,,,,,,,,,
,"8"" Dial Calipers",,,,,,,,,,,,,,,
3/16/21,"B&S BesTest .00005"" Indicator 7033-3",60,,,,,,,,,,,,,,
3/17/21,"Mitutoyo 40"" Vernier Caliper W/ Case",100,282,182,1/27/22,104,From Jerry in Sugar Grove,,,,,,,,,
,Mitutoyo 18-24 Mic Complete W/ Case,200,550,350,11/21/21,89,,,,,,,,,,
3/23/21,Shipping Materials,45,,,,,,,,,,,,,,
,"Mitutoyo Micrometers (6-7, 8-9, 9-10, 10-11, 11-12)",132,172.5,40.5,6/29/23,293,"17lbs, 18x14x11",,,,,,,,,
4/15/21,"Clausing 15"" Drill Press",125,900,775,,,,,,,,,,,,
4/21/21,Starrett Inside Micrometer 824 D,35,162,127,5/26/21,63,,,,,,,,,,
,Co-axial Indicator,50,,,,,,,,,,,,,,
,Auction Buyer's Premium,15,,-15,,,,,,,,,,,,
5/17/21,Misc Tools,Brake Even,0.99,0,5/26/21,64,,,,,,,,,,
,Unmarked Wrench,,,,,,,,,,,,,,,
,"Stanley 12"" Square",,,,,,,,,,,,,,,
,Milwaukee 2 3/4 Hole Saw + Arbor,,,,,,,,,,,,,,,
,General Protractor,,,,,,,,,,,,,,,
,Letter 'I' drill bit unopened,,,,,,,,,,,,,,,
5/29/21,,,,,,,"Downers Grove Estate Sale, owner was Ken",,,,,,,,,
,Taft Peirce No 192(G) Right Angle Plate,20,,,,,,,,,,,,,,
,Disston Saw,5,,,,,,,,,,,,,,
,4 Way Toolpost AXA,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lot 2,,,,,,,,,,,,,,,
,MT Drill Bits (~25),75,,,,,,,,,,,,,,
,Counter Bores,75,,,,,,,,,,,,,,
,Router Bit Set,25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,3 books,10,,,,,,,,,,,,,,
,7th Ed. American Machinists Handbook,20,,,,,,,,,,,,,,
,Lot 3,25,,,,,,,,,,,,,,
,MT2 male to MT3 female,,,,,,,,,,,,,,,
,Morse Taper Wedges,,,,,,,,,,,,,,,
,Lot 4,10,,,,,,,,,,,,,,
,2 Diamond,,,,,,,,,,,,,,,
,Roughing Shell endmill,,,,,,,,,,,,,,,
,Tap Magic,,,,,,,,,,,,,,,
,DoAll Bluing Liquid,,,,,,,,,,,,,,,
6/3/21,Metro tech Model 810 A,125,400,275,,82,Heath Industrial: Machinery Exchange 8,400,,,,,,,,
,Metro tech Model 810 B,125,350,225,,83,,400,,,,,,,,
,Metro tech Model 810 C,125,350,225,,84,,400,,,,,,,,
,2 Cutting Torch Head,5,,,,,,,,,,,,,,
,Reliance Electric Maxpak Plus A,15,,,,85,In Storage,,,,,,,,,
,Reliance Electric Maxpak Plus B,15,,,,86,In Storage,,,,,,,,,
,Danfoss Type 3002 Variable Speed Drive A,25,0.01,-24.99,2/10/23,80,,,,,,,,,,
,Danfoss Type 3002 Variable Speed Drive B,35,1,-34,2/10/23,81,,,,,,,,,,
,B&S No. 2 Dividing Head W/ Tailstock,175,,,,,,,,,,,,,,
,19 Gas Valves,15,15,0,,,,,,,,,,,,
,A,,,,,,,,,,,,,,,
,B,,,,,72,,,,,,,,,,
,C White Rodgers 36E93 301,,15,,8/10/21,73,,,,,,,,,,
,D,,,,,74,,,,,,,,,,
,E W/R 36E94 301,,,,,69,,,,,,,,,,
,F W/R 36E94 301,,,,,70,,,,,,,,,,
,G W/R 36E94 301,,,,,71,,,,,,,,,,
,H W/R 36E98 203,,,,,75,,,,,,,,,,
,I W/R 36E98 201,,,,,76,,,,,,,,,,
,J W/R 36E98 203,,,,,77,,,,,,,,,,
,K,,,,,,,,,,,,,,,
,L,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,
,N Honeywell VR800A 1608,,,,,78,,,,,,,,,,
,O,,,,,,,,,,,,,,,
,P,,,,,,,,,,,,,,,
,Q,,,,,,,,,,,,,,,
,R,,,,,,,,,,,,,,,
,S,,,,,,,,,,,,,,,
,Auct Premium,118.8,,,,,,,,,,,,,,
,Tax,77.88,,,,,,,,,,,,,,
6/10/21,Batteries for MeteroTech 810's,60,0,-60,,,,,,,,,,,,
6/11/21,Lot Astd U-Joints Wheel Bearings and Seals,150,,,,,,,,,,,,,,
,Box Astd Pulleys,,0,,9/30/22,148,"34lbs, 17x11x10",Did not sell thrown out,,,,,,,,
,Box Springs,,,,,,,,,,,,,,,
,Starrett 196A1Z In Case and Box,30,90,60,8/9/21,79,,100,,,,,,,,
,18% Buyer's Premium,32.4,,,,,,,,,,,,,,
,Tax,16.99,,,,,,,,,,,,,,
6/16/21,Bearing lot,60,1658.061,1598.061,,,"Heath, Chicago Heights Sure Industrial Truck Side Mirror Manufacturer",,,,Ttl Expected:1872.79 sum(qty*(price-ship)),,,,,
,MRC 5200 SBKFF H503,,38.76,,,236-A,"5oz, 6x4x2",Init Qty: 5,,,,,,,,
,MRC 5201 SBKFF H301 ,,15.81,,,236-B,"5oz, 6x4x2",2,,,,,,,,
,MRC 5202 SBKFF H502,,20.81,,,236-C,"6oz, 6x4x2",3,,,,,,,,
,MRC 5203 SBKFF H502,,87.16,,,236-D,"7oz, 6x4x2",8,,,,,,,,
,MRC 5203 SBKFF H301,,28.03,,,236-E,"7oz, 6x4x2",3,,,,,,,,
,MRC 305MFF-0022,,0,,,236-F,"13oz, 6x8x3",1,,,,,,,,
,MRC 207 SFFC 0131,,0,,,236-G,"2lbs (1lb 5oz), 6x8x3",1,,,,,,,,
,MRC 5209M H501,,29.59,,,236-H,"3lb (2lb, 5oz), 6x7x8",2,,,,,,,,
,McGill CFH 1/2 (NO PLUG),,0,,,237-A,"4oz, 6x4x3",1,,,,,,,,
,McGill CFH 1/2 (1 PLUG),,0,,,237-B,"4oz, 6x4x3",1,,,,,,,,
,McGill CFH 11/16 S,,0,,,237-C,"4oz, 6x4x2",3,,,,,,,,
,McGill CYR 3/4,,15.41,,,237-D,"4oz, 6x4x2",3,,,,,,,,
,McGill CYR 1,,0,,,237-E,"6oz, 6x4x2",2,"(Middle one of 3 thrown out), E-1 thrown out?",,,,,,,
,McGill CF 1 1/8,,28.25,,,237-F,"8oz, 6x8x3",4,2 Packing Pics,,,,,,,
,McGill CF 1 1/4 B,,8.36,,,237-G,"10oz, 6x8x4",1,,,,,,,,
,McGill CYR 1 1/4,,29.39,,,237-H,"8oz, 6x8x4",4,,,,,,,,
,McGill CCFH 1 3/8 SB (1 PLUG),,13.52,,,237-I,"11oz, 6x8x3",1,,,,,,,,
,McGill CCFH 1 3/8 SB (NO PLUG),,0,,,237-J,"12oz, 6x8x3",1,,,,,,,,
,McGill CF 1 1/2,,14.15,,,237-K,"14oz, 6x8x4",1,,,,,,,,
,McGill CYR 1 3/4 S,,74.61,,,237-L,"15oz, 6x8x4",7,,,,,,,,
,McGill CF 1 7/8,,0,,,237-M,"2lb (1lb, 3oz), 6x8x4",2,,,,,,,,
,McGill CF 2,,30.41,,,237-N,"2lb (1lb, 12oz), 10x13x5",2,,,,,,,,
,McGill MI 8 N,,0,,,237-O,"4oz, 6x4x3",4,,,,,,,,
,McGill MB 25 3/4 * (NO  OD Nib),,0,,,237-P,"10oz, 6x8x4",1,,,,,,,,
,McGill MB 25 3/4 * (OD Nib),,0,,,237-Q,"11oz, 6x8x4",1,,,,,,,,
,McGill MR 24,,4.24,,,237-R,"12oz, 6x8x4",1,,,,,,,,
,McGill CF 3/4 10 Pieces,,0,,,237-S,"1lb 15oz, 9x7x6",1,,,,,,,,
,McGill CF 3/4 4 Pieces,,0,,,237-T,"1lb 3oz, 9x7x6",1,,,,,,,,
,McGill CF 7/8 6 Pieces,,0,,,237-U,1lb 11oz 9x7x6,1,,,,,,,,
,Timken 1985,,21.05,,,248-A,"11oz, 6x8x3",1,,,,,,,,
,Timken 05185 CUP,,0,,,248-B,"8oz, 6x8x3",1,,,,,,,,
,Timken 07000LA 902A1,,12.39,,,248-C,"9oz, 6x8x3",1,,,,,,,,
,Timken 07100,,25.965,,,248-D,"8oz, 6x8x3",7,,,,,,,,
,Timken 07196,,13.41,,,248-E,"11oz, 6x8x3",2,,,,,,,,
,Timken LM12710,,0,,,248-F,"7oz, 6x8x3",2,,,,,,,,
,Timken LM12749,,9.7,,,248-G,"8oz, 6x8x3",2,,,,,,,,
,Timken 17520,,8.25,,,248-H,"7oz, 6x8x3",4,,,,,,,,
,Timken 17580,,53.66,,,248-I,"8oz, 6x8x3",3,,,,,,,,
,Timken Torrington IR-182220,,8.48,,,248-J,"8oz, 6x8x3",2,,,,,,,,
