2020-11-04,Asstd S&D Drill bits 17- 27/32 - 1 1/2,45,55,10,2021-02-15,55-A-1,,55\,Starting Price: 60,,
2020-11-04,27/32,,,,,,,Starting Price: ,,
2020-11-04,7/8,,,,,,,Starting Price: ,,
2020-11-04,57/64,,,,,,,Starting Price: ,,
2020-11-04,29/32,,,,,,,Starting Price: ,,
2020-11-04,59/64,,,,,,,Starting Price: ,,
2020-11-04,15/16,,,,,,,Starting Price: ,,
2020-11-04,61/64,,,,,,,Starting Price: ,,
2020-11-04,31/32,,,,,,,Starting Price: ,,
2020-11-04,63/64,,,,,,,Starting Price: ,,
2020-11-04,1 1/16,,,,,,,Starting Price: ,,
2020-11-04,(2) 1 1/8,,,,,,,Starting Price: ,,
2020-11-04,1 3/16,,,,,,,Starting Price: ,,
2020-11-04,3 1 1/4,,,,,,,Starting Price: ,,
2020-11-04,2 1 5/16,,,,,,,Starting Price: ,,
2020-11-04,3 1 3/8,,,,,,,Starting Price: ,,
2020-11-04,2 1 7/16,,,,,,,Starting Price: ,,
2020-11-04,1 1/2,,,,,,,Starting Price: ,,
2020-11-04,Yuasa News Spin-Index Fixture,25,,,,,,Starting Price: ,,
2020-11-04,Assorted Balas Collets,140,465,325,,,,Starting Price: ,,
2020-11-04,(C3),,75,,2021-02-12,7-A-1,,7\,Starting Price: 150,,
2020-11-04,(C4),,25,,2021-04-17,9-A-1,,9\,Starting Price: 75,,
2020-11-04,(C8 Nominal),,255,,2021-03-29,6-A-1,,6\,Starting Price: 500,,
2020-11-04,(C8 Pipe),,110,,2021-07-12,14-A-1,,14\,Starting Price: 170,,
2020-11-04,Cat Retnetion Knobs + Balas Spacers/Collars,,,,,60-A-1,,60\,Starting Price: ,,
2020-11-04,7 in. Dividing Head,120,,,,,,Starting Price: ,,
2020-11-04,Scherr Tumico  Ultra-Flat 18 x 12 x 3 Surface Plate,80,,,,,,Starting Price: ,,
2020-11-04,Starrett 24 in. Vernier Caliper,50,58,8,2021-05-07,16-A-1,,16\, Shipping - 25\,Starting Price: 125,,
